plot_row,plot_column,plant_id,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,gps_eastings_UTMzone17N,gps_northings_UTMzone17N,accession_photoperiod,accession_type,accession_origin,accession_race,plot_id,Notes,x_of_y,plot_plan_tag,plot_plan_con,plot_plan_barcode,plot_plan_end
25 && 26 && 27 && 28,9,PI_563329,200,194,196,1.65,,1.42,,,,0.33928,,0.063423,0.36352,0.42128,13.6024,,50.6223,340656.984 && 340656.2875 && 340655.4905 && 340654.7935,3832686.495 && 3832686.725 && 3832686.78 && 3832687.01,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Durra-caudatum,SF-BE-r1-p0405 && SF-BE-r1-p0406 && SF-BE-r1-p0407 && SF-BE-r1-p0408,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0405 && BMS.SF-BE-r1-p0407 && PAN.SF-BE-r1-p0407 && LEF.SF-BE-r1-p0407,ANTHESIS && MATURITY
25 && 26 && 27 && 28,10,PI_562897,235,213,231,1.62,,1.40,,,,0.50165,,0.069261,0.37543,0.5392,19.1007,,58.8247,340658.489 && 340657.793 && 340657.0025 && 340656.306,3832690.745 && 3832690.98 && 3832691.05 && 3832691.28,PHOTOPERIOD_SENSITIVE,Cellulosic,Burkina Faso,Guinea,SF-BE-r1-p0453 && SF-BE-r1-p0454 && SF-BE-r1-p0455 && SF-BE-r1-p0456,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0453 && BMS.SF-BE-r1-p0455 && PAN.SF-BE-r1-p0455 && LEF.SF-BE-r1-p0455,ANTHESIS && MATURITY
25 && 26 && 27 && 28,11,PI_156217,215,182,213,1.72,,1.46,,,,0.019119,,0.078474,0.44217,0.49036,20.4424,,64.3961,340659.9995 && 340659.3045 && 340658.524 && 340657.829,3832695.02 && 3832695.255 && 3832695.34 && 3832695.575,PHOTOPERIOD_SENSITIVE,Cellulosic,Malawi,Caudatum,SF-BE-r1-p0501 && SF-BE-r1-p0502 && SF-BE-r1-p0503 && SF-BE-r1-p0504,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0501 && BMS.SF-BE-r1-p0503 && PAN.SF-BE-r1-p0503 && LEF.SF-BE-r1-p0503,ANTHESIS && MATURITY
25 && 26 && 27 && 28,12,PI_570431,299,305,255,2.02,,1.74,,,,0.13225,,0.075818,0.27968,0.45138,20.1661,,58.0017,340661.551 && 340660.855 && 340660.065 && 340659.3695,3832699.41 && 3832699.645 && 3832699.69 && 3832699.925,PHOTOPERIOD_SENSITIVE,Sweet,,Durra,SF-BE-r1-p0549 && SF-BE-r1-p0550 && SF-BE-r1-p0551 && SF-BE-r1-p0552,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0549 && BMS.SF-BE-r1-p0551 && PAN.SF-BE-r1-p0551 && LEF.SF-BE-r1-p0551,ANTHESIS && MATURITY
25 && 26 && 27 && 28,13,PI_330182,290,282,276,1.88,,1.60,,,,0.056751,,0.073568,0.2971,0.64933,26.0005,,41.4111,340663.0525 && 340662.357 && 340661.5875 && 340660.892,3832703.655 && 3832703.89 && 3832703.99 && 3832704.225,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,,SF-BE-r1-p0597 && SF-BE-r1-p0598 && SF-BE-r1-p0599 && SF-BE-r1-p0600,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0597 && BMS.SF-BE-r1-p0599 && PAN.SF-BE-r1-p0599 && LEF.SF-BE-r1-p0599,ANTHESIS && MATURITY
25 && 26 && 27 && 28,14,PI_506069,232,206,217,1.35,,1.18,,,,0.52927,,0.07832,0.31843,0.42733,23.1102,,51.3668,340664.484 && 340663.79 && 340663.0425 && 340662.3485,3832707.7 && 3832707.94 && 3832708.095 && 3832708.335,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea-bicolor,SF-BE-r1-p0645 && SF-BE-r1-p0646 && SF-BE-r1-p0647 && SF-BE-r1-p0648,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0645 && BMS.SF-BE-r1-p0647 && PAN.SF-BE-r1-p0647 && LEF.SF-BE-r1-p0647,ANTHESIS && MATURITY
25 && 26 && 27 && 28,15,PI_153877,182,196,191,1.28,,1.04,,,,0.65661,,0.073492,0.32008,0.46675,11.2107,,56.112,340666.0265 && 340665.332 && 340664.538 && 340663.8435,3832712.07 && 3832712.31 && 3832712.32 && 3832712.555,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Guinea,SF-BE-r1-p0693 && SF-BE-r1-p0694 && SF-BE-r1-p0695 && SF-BE-r1-p0696,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0693 && BMS.SF-BE-r1-p0695 && PAN.SF-BE-r1-p0695 && LEF.SF-BE-r1-p0695,ANTHESIS && MATURITY
25 && 26 && 27 && 28,16,PI_330807,103,90,83,1.34,,1.07,,,,0.043621,,0.061793,0.46794,0.4929,20.7998,,18.4443,340667.57 && 340666.874 && 340666.0945 && 340665.3985,3832716.43 && 3832716.665 && 3832716.705 && 3832716.945,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,,SF-BE-r1-p0741 && SF-BE-r1-p0742 && SF-BE-r1-p0743 && SF-BE-r1-p0744,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0741 && BMS.SF-BE-r1-p0743 && PAN.SF-BE-r1-p0743 && LEF.SF-BE-r1-p0743,ANTHESIS && MATURITY
25 && 26 && 27 && 28,17,PI_510757,144,120,110,2.06,,1.60,,,,0.18168,,0.062908,0.069666,0.17101,2.2265,,39.0627,340669.102 && 340668.4055 && 340667.662 && 340666.9655,3832720.765 && 3832721.0 && 3832721.135 && 3832721.365,PHOTOPERIOD_SENSITIVE,Cellulosic,Cameroon,Durra,SF-BE-r1-p0789 && SF-BE-r1-p0790 && SF-BE-r1-p0791 && SF-BE-r1-p0792,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0789 && BMS.SF-BE-r1-p0791 && PAN.SF-BE-r1-p0791 && LEF.SF-BE-r1-p0791,ANTHESIS && MATURITY
25 && 26 && 27 && 28,18,PI_329300,228,230,221,1.73,,1.52,,,,0.1104,,0.07859,0.28125,0.59584,14.5986,,42.7529,340670.612 && 340669.9155 && 340669.17 && 340668.4735,3832725.035 && 3832725.27 && 3832725.39 && 3832725.625,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,,SF-BE-r1-p0837 && SF-BE-r1-p0838 && SF-BE-r1-p0839 && SF-BE-r1-p0840,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0837 && BMS.SF-BE-r1-p0839 && PAN.SF-BE-r1-p0839 && LEF.SF-BE-r1-p0839,ANTHESIS && MATURITY
25 && 26 && 27 && 28,19,PI_563350,100,121,110,0.60,,0.51,,,,0.6042,,0.080353,0.32438,0.32211,8.4508,,43.5004,340672.1185 && 340671.422 && 340670.6715 && 340669.975,3832729.295 && 3832729.53 && 3832729.63 && 3832729.865,PHOTOPERIOD_SENSITIVE,Cellulosic,Burkina Faso,Guinea,SF-BE-r1-p0885 && SF-BE-r1-p0886 && SF-BE-r1-p0887 && SF-BE-r1-p0888,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0885 && BMS.SF-BE-r1-p0887 && PAN.SF-BE-r1-p0887 && LEF.SF-BE-r1-p0887,ANTHESIS && MATURITY
25 && 26 && 27 && 28,20,PI_563332,210,214,248,2.07,,1.71,,,,0.80243,,0.060881,0.26668,0.51516,17.0348,,43.0742,340673.6855 && 340672.9885 && 340672.203 && 340671.506,3832733.73 && 3832733.965 && 3832733.95 && 3832734.185,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra,SF-BE-r1-p0933 && SF-BE-r1-p0934 && SF-BE-r1-p0935 && SF-BE-r1-p0936,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0933 && BMS.SF-BE-r1-p0935 && PAN.SF-BE-r1-p0935 && LEF.SF-BE-r1-p0935,ANTHESIS && MATURITY
25 && 26 && 27 && 28,21,PI_570145,189,161,162,0.91,,0.75,,,,0.093561,,0.073314,0.32809,0.39123,8.0839,,51.7851,340675.245 && 340674.547 && 340673.757 && 340673.059,3832738.14 && 3832738.375 && 3832738.34 && 3832738.57,PHOTOPERIOD_SENSITIVE,Cellulosic,,Guinea-caudatum,SF-BE-r1-p0981 && SF-BE-r1-p0982 && SF-BE-r1-p0983 && SF-BE-r1-p0984,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0981 && BMS.SF-BE-r1-p0983 && PAN.SF-BE-r1-p0983 && LEF.SF-BE-r1-p0983,ANTHESIS && MATURITY
25 && 26 && 27 && 28,22,PI_154944,201,223,216,1.44,1.40,1.22,16,16,15,0.27554,,0.07276,0.26361,0.40822,7.4755,,30.8392,340676.76 && 340676.062 && 340675.313 && 340674.6145,3832742.425 && 3832742.655 && 3832742.725 && 3832742.96,PHOTOPERIOD_INSENSITIVE,Cellulosic,Uganda,,SF-BE-r1-p1029 && SF-BE-r1-p1030 && SF-BE-r1-p1031 && SF-BE-r1-p1032,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1029 && BMS.SF-BE-r1-p1031 && PAN.SF-BE-r1-p1031 && LEF.SF-BE-r1-p1031,ANTHESIS && MATURITY
25 && 26 && 27 && 28,23,PI_152923,175,189,197,1.29,,1.13,,,,0.13534,,0.06772,0.1789,0.35406,7.3191,,45.8473,340678.2785 && 340677.581 && 340676.8245 && 340676.127,3832746.72 && 3832746.955 && 3832746.995 && 3832747.23,PHOTOPERIOD_INSENSITIVE,Cellulosic,Sudan,,SF-BE-r1-p1077 && SF-BE-r1-p1078 && SF-BE-r1-p1079 && SF-BE-r1-p1080,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1077 && BMS.SF-BE-r1-p1079 && PAN.SF-BE-r1-p1079 && LEF.SF-BE-r1-p1079,ANTHESIS && MATURITY
25 && 26 && 27 && 28,24,PI_329333,240,243,221,1.16,,0.99,,,,0.44351,,0.07873,0.29714,0.51382,10.7752,,50.3247,340679.819 && 340679.121 && 340678.35 && 340677.652,3832751.08 && 3832751.315 && 3832751.305 && 3832751.535,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,,SF-BE-r1-p1125 && SF-BE-r1-p1126 && SF-BE-r1-p1127 && SF-BE-r1-p1128,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1125 && BMS.SF-BE-r1-p1127 && PAN.SF-BE-r1-p1127 && LEF.SF-BE-r1-p1127,ANTHESIS && MATURITY
25 && 26 && 27 && 28,25,PI_570053,124,114,134,1.65,,1.26,,,,0.29896,,0.083265,0.28696,0.3662,5.8826,,50.8409,340681.3465 && 340680.648 && 340679.8505 && 340679.152,3832755.395 && 3832755.63 && 3832755.54 && 3832755.77,PHOTOPERIOD_SENSITIVE,Cellulosic,,Caudatum,SF-BE-r1-p1173 && SF-BE-r1-p1174 && SF-BE-r1-p1175 && SF-BE-r1-p1176,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1173 && BMS.SF-BE-r1-p1175 && PAN.SF-BE-r1-p1175 && LEF.SF-BE-r1-p1175,ANTHESIS && MATURITY
25 && 26 && 27 && 28,26,PI_303658,283,291,270,2.58,2.54,2.15,22,21,20,0.71536,,0.071946,0.43275,0.53741,20.0553,,61.5883,340682.867 && 340682.169 && 340681.429 && 340680.731,3832759.695 && 3832759.93 && 3832759.99 && 3832760.225,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,,SF-BE-r1-p1221 && SF-BE-r1-p1222 && SF-BE-r1-p1223 && SF-BE-r1-p1224,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1221 && BMS.SF-BE-r1-p1223 && PAN.SF-BE-r1-p1223 && LEF.SF-BE-r1-p1223,ANTHESIS && MATURITY
25 && 26 && 27 && 28,27,PI_329614,143,146,185,2.19,,1.84,,,,0.038676,,0.08057,0.12305,0.25876,2.1467,,28.146,340684.398 && 340683.7 && 340682.9805 && 340682.2825,3832764.03 && 3832764.265 && 3832764.37 && 3832764.605,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,,SF-BE-r1-p1269 && SF-BE-r1-p1270 && SF-BE-r1-p1271 && SF-BE-r1-p1272,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1269 && BMS.SF-BE-r1-p1271 && PAN.SF-BE-r1-p1271 && LEF.SF-BE-r1-p1271,ANTHESIS && MATURITY
25 && 26 && 27 && 28,28,PI_221651,129,160,116,1.19,,1.01,,,,0.76791,,0.078428,0.32007,0.46033,16.7254,,65.4291,340685.882 && 340685.184 && 340684.4625 && 340683.765,3832768.225 && 3832768.46 && 3832768.555 && 3832768.79,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea,SF-BE-r1-p1317 && SF-BE-r1-p1318 && SF-BE-r1-p1319 && SF-BE-r1-p1320,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1317 && BMS.SF-BE-r1-p1319 && PAN.SF-BE-r1-p1319 && LEF.SF-BE-r1-p1319,ANTHESIS && MATURITY
25 && 26 && 27 && 28,29,PI_569452,292,260,256,1.41,,1.19,,,,0.39901,,0.078796,0.42731,0.64424,28.3222,,54.2092,340687.352 && 340686.6555 && 340685.985 && 340685.289,3832772.495 && 3832772.725 && 3832772.9 && 3832773.13,PHOTOPERIOD_SENSITIVE,Sweet,,Caudatum,SF-BE-r1-p1365 && SF-BE-r1-p1366 && SF-BE-r1-p1367 && SF-BE-r1-p1368,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1365 && BMS.SF-BE-r1-p1367 && PAN.SF-BE-r1-p1367 && LEF.SF-BE-r1-p1367,ANTHESIS && MATURITY
25 && 26 && 27 && 28,30,PI_506114,80,96,92,0.49,,0.41,,,,0.98886,,0.090755,0.31133,0.5388,19.8153,,39.4364,340688.8485 && 340688.153 && 340687.4765 && 340686.781,3832776.725 && 3832776.955 && 3832777.105 && 3832777.34,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea,SF-BE-r1-p1413 && SF-BE-r1-p1414 && SF-BE-r1-p1415 && SF-BE-r1-p1416,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1413 && BMS.SF-BE-r1-p1415 && PAN.SF-BE-r1-p1415 && LEF.SF-BE-r1-p1415,ANTHESIS && MATURITY
25 && 26 && 27 && 28,31,PI_330185,226,218,242,2.25,,1.78,,,,0.055582,,0.083962,0.32156,0.60061,20.7937,,27.8455,340690.3325 && 340689.6375 && 340688.9495 && 340688.255,3832780.92 && 3832781.155 && 3832781.26 && 3832781.495,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,,SF-BE-r1-p1461 && SF-BE-r1-p1462 && SF-BE-r1-p1463 && SF-BE-r1-p1464,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1461 && BMS.SF-BE-r1-p1463 && PAN.SF-BE-r1-p1463 && LEF.SF-BE-r1-p1463,ANTHESIS && MATURITY
25 && 26 && 27 && 28,32,PI_585467,135,140,133,0.71,,0.55,,,,,,0.03635,0.28681,0.33535,20.6123,,44.6415,340691.8545 && 340691.1595 && 340690.45 && 340689.7555,3832785.22 && 3832785.46 && 3832785.5 && 3832785.735,PHOTOPERIOD_SENSITIVE,Cellulosic,Ghana,Guinea,SF-BE-r1-p1509 && SF-BE-r1-p1510 && SF-BE-r1-p1511 && SF-BE-r1-p1512,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1509 && BMS.SF-BE-r1-p1511 && PAN.SF-BE-r1-p1511 && LEF.SF-BE-r1-p1511,ANTHESIS && MATURITY
29 && 30 && 31 && 32,1,PI_583832,219,185,239,1.33,,1.11,,,,,,0.04706,0.31763,0.53203,,70.2658,,340641.953 && 340641.38 && 340640.6895 && 340639.882,3832652.865 && 3832653.085 && 3832653.315 && 3832653.55,PHOTOPERIOD_INSENSITIVE,Sweet,,,SF-BE-r1-p0025 && SF-BE-r1-p0026 && SF-BE-r1-p0027 && SF-BE-r1-p0028,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0025 && BMS.SF-BE-r1-p0027 && PAN.SF-BE-r1-p0027 && LEF.SF-BE-r1-p0027,ANTHESIS && MATURITY
29 && 30 && 31 && 32,2,PI_152730,235,233,235,0.82,0.81,0.71,19,19,20,0.79444,0.10836,0.07063,0.28258,0.43682,,32.2101,,340643.4675 && 340642.9155 && 340642.2265 && 340641.4,3832657.155 && 3832657.435 && 3832657.665 && 3832657.845,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Caudatum-bicolor,SF-BE-r1-p0073 && SF-BE-r1-p0074 && SF-BE-r1-p0075 && SF-BE-r1-p0076,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0073 && BMS.SF-BE-r1-p0075 && PAN.SF-BE-r1-p0075 && LEF.SF-BE-r1-p0075,ANTHESIS && MATURITY
29 && 30 && 31 && 32,3,PI_514456,126,127,149,0.84,,0.68,,,,0.4295,0.032304,0.078299,0.33112,0.35773,,31.8371,,340645.004 && 340644.4805 && 340643.791 && 340642.935,3832661.495 && 3832661.86 && 3832662.095 && 3832662.195,PHOTOPERIOD_SENSITIVE,Cellulosic,Senegal,Guinea,SF-BE-r1-p0121 && SF-BE-r1-p0122 && SF-BE-r1-p0123 && SF-BE-r1-p0124,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0121 && BMS.SF-BE-r1-p0123 && PAN.SF-BE-r1-p0123 && LEF.SF-BE-r1-p0123,ANTHESIS && MATURITY
29 && 30 && 31 && 32,4,PI_569447,110,103,111,0.79,,0.63,,,,0.10865,0.061669,0.099939,0.27075,0.30267,,53.4886,,340646.5365 && 340645.985 && 340645.2905 && 340644.4525,3832665.735 && 3832666.075 && 3832666.31 && 3832666.435,PHOTOPERIOD_SENSITIVE,Cellulosic,,Caudatum,SF-BE-r1-p0169 && SF-BE-r1-p0170 && SF-BE-r1-p0171 && SF-BE-r1-p0172,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0169 && BMS.SF-BE-r1-p0171 && PAN.SF-BE-r1-p0171 && LEF.SF-BE-r1-p0171,ANTHESIS && MATURITY
29 && 30 && 31 && 32,5,PI_329699,274,264,273,1.38,1.36,1.19,15,13,15,0.3145,0.061472,0.06683,0.33216,0.70695,,80.1864,,340648.059 && 340647.504 && 340646.8095 && 340645.976,3832670.04 && 3832670.375 && 3832670.61 && 3832670.75,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,,SF-BE-r1-p0217 && SF-BE-r1-p0218 && SF-BE-r1-p0219 && SF-BE-r1-p0220,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0217 && BMS.SF-BE-r1-p0219 && PAN.SF-BE-r1-p0219 && LEF.SF-BE-r1-p0219,ANTHESIS && MATURITY
29 && 30 && 31 && 32,6,PI_329256,175,174,139,1.56,,1.27,,,,0.053713,0.093419,0.070274,0.40761,0.50516,,42.3077,,340649.5805 && 340649.048 && 340648.3535 && 340647.4965,3832674.35 && 3832674.75 && 3832674.98 && 3832675.05,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,,SF-BE-r1-p0265 && SF-BE-r1-p0266 && SF-BE-r1-p0267 && SF-BE-r1-p0268,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0265 && BMS.SF-BE-r1-p0267 && PAN.SF-BE-r1-p0267 && LEF.SF-BE-r1-p0267,ANTHESIS && MATURITY
29 && 30 && 31 && 32,7,PI_585461,113,135,136,0.87,,0.69,,,,0.24329,0.050583,0.086562,0.32788,0.33182,,53.7232,,340651.1155 && 340650.5475 && 340649.8525 && 340649.0305,3832678.695 && 3832678.99 && 3832679.225 && 3832679.395,PHOTOPERIOD_SENSITIVE,Cellulosic,Ghana,Guinea,SF-BE-r1-p0313 && SF-BE-r1-p0314 && SF-BE-r1-p0315 && SF-BE-r1-p0316,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0313 && BMS.SF-BE-r1-p0315 && PAN.SF-BE-r1-p0315 && LEF.SF-BE-r1-p0315,ANTHESIS && MATURITY
29 && 30 && 31 && 32,8,PI_641909,214,201,207,1.30,1.14,0.94,16,17,20,0.51146,0.041355,0.090761,0.3579,0.50171,,54.7738,,340652.688 && 340652.098 && 340651.402 && 340650.6,3832683.14 && 3832683.38 && 3832683.61 && 3832683.835,PHOTOPERIOD_INSENSITIVE,Cellulosic,Sudan,,SF-BE-r1-p0361 && SF-BE-r1-p0362 && SF-BE-r1-p0363 && SF-BE-r1-p0364,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0361 && BMS.SF-BE-r1-p0363 && PAN.SF-BE-r1-p0363 && LEF.SF-BE-r1-p0363,ANTHESIS && MATURITY
29 && 30 && 31 && 32,9,PI_521019,199,201,199,2.12,,1.83,,,,0.1751,0.056,0.075601,0.37779,0.50502,,40.9788,,340654.197 && 340653.6255 && 340652.9285 && 340652.1065,3832687.415 && 3832687.705 && 3832687.935 && 3832688.105,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Durra-caudatum,SF-BE-r1-p0409 && SF-BE-r1-p0410 && SF-BE-r1-p0411 && SF-BE-r1-p0412,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0409 && BMS.SF-BE-r1-p0411 && PAN.SF-BE-r1-p0411 && LEF.SF-BE-r1-p0411,ANTHESIS && MATURITY
29 && 30 && 31 && 32,10,PI_563355,183,166,167,1.52,,1.33,,,,0.67252,0.051842,0.099777,0.38979,0.50523,,73.2418,,340655.7035 && 340655.139 && 340654.443 && 340653.6145,3832691.675 && 3832691.99 && 3832692.22 && 3832692.37,PHOTOPERIOD_SENSITIVE,Cellulosic,Burkina Faso,Guinea-caudatum,SF-BE-r1-p0457 && SF-BE-r1-p0458 && SF-BE-r1-p0459 && SF-BE-r1-p0460,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0457 && BMS.SF-BE-r1-p0459 && PAN.SF-BE-r1-p0459 && LEF.SF-BE-r1-p0459,ANTHESIS && MATURITY
29 && 30 && 31 && 32,11,PI_569460,153,182,182,1.36,,1.12,,,,0.33833,0.041946,0.080766,0.43497,0.22503,,69.4828,,340657.219 && 340656.6645 && 340655.9695 && 340655.1335,3832695.96 && 3832696.31 && 3832696.545 && 3832696.67,PHOTOPERIOD_SENSITIVE,Cellulosic,,Caudatum,SF-BE-r1-p0505 && SF-BE-r1-p0506 && SF-BE-r1-p0507 && SF-BE-r1-p0508,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0505 && BMS.SF-BE-r1-p0507 && PAN.SF-BE-r1-p0507 && LEF.SF-BE-r1-p0507,ANTHESIS && MATURITY
29 && 30 && 31 && 32,12,PI_157030,157,166,165,1.18,,0.97,,,,0.9479,0.045149,0.08261,0.36919,0.45613,,65.8959,,340658.768 && 340658.203 && 340657.507 && 340656.68,3832700.345 && 3832700.66 && 3832700.895 && 3832701.045,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Caudatum,SF-BE-r1-p0553 && SF-BE-r1-p0554 && SF-BE-r1-p0555 && SF-BE-r1-p0556,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0553 && BMS.SF-BE-r1-p0555 && PAN.SF-BE-r1-p0555 && LEF.SF-BE-r1-p0555,ANTHESIS && MATURITY
29 && 30 && 31 && 32,13,PI_329644,227,183,206,1.44,,1.21,,,,0.34006,0.069449,0.091394,0.35011,0.38081,,47.8788,,340660.2705 && 340659.6935 && 340658.998 && 340658.184,3832704.595 && 3832704.88 && 3832705.12 && 3832705.305,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,,SF-BE-r1-p0601 && SF-BE-r1-p0602 && SF-BE-r1-p0603 && SF-BE-r1-p0604,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0601 && BMS.SF-BE-r1-p0603 && PAN.SF-BE-r1-p0603 && LEF.SF-BE-r1-p0603,ANTHESIS && MATURITY
