,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
Rw36,SF-BE-r1-p0032,SF-BE-r1-p0080,SF-BE-r1-p0128,SF-BE-r1-p0176,SF-BE-r1-p0224,SF-BE-r1-p0272,SF-BE-r1-p0320,SF-BE-r1-p0368,SF-BE-r1-p0416,SF-BE-r1-p0464,SF-BE-r1-p0512,SF-BE-r1-p0560,SF-BE-r1-p0608,SF-BE-r1-p0656,SF-BE-r1-p0704,SF-BE-r1-p0752,SF-BE-r1-p0800,SF-BE-r1-p0848,SF-BE-r1-p0896,SF-BE-r1-p0944,SF-BE-r1-p0992,SF-BE-r1-p1040,SF-BE-r1-p1088,SF-BE-r1-p1136,SF-BE-r1-p1184,SF-BE-r1-p1232,SF-BE-r1-p1280,SF-BE-r1-p1328,SF-BE-r1-p1376,SF-BE-r1-p1424,SF-BE-r1-p1472,SF-BE-r1-p1520
Rw37,SF-BE-r1-p0033,SF-BE-r1-p0081,SF-BE-r1-p0129,SF-BE-r1-p0177,SF-BE-r1-p0225,SF-BE-r1-p0273,SF-BE-r1-p0321,SF-BE-r1-p0369,SF-BE-r1-p0417,SF-BE-r1-p0465,SF-BE-r1-p0513,SF-BE-r1-p0561,SF-BE-r1-p0609,SF-BE-r1-p0657,SF-BE-r1-p0705,SF-BE-r1-p0753,SF-BE-r1-p0801,SF-BE-r1-p0849,SF-BE-r1-p0897,SF-BE-r1-p0945,SF-BE-r1-p0993,SF-BE-r1-p1041,SF-BE-r1-p1089,SF-BE-r1-p1137,SF-BE-r1-p1185,SF-BE-r1-p1233,SF-BE-r1-p1281,SF-BE-r1-p1329,SF-BE-r1-p1377,SF-BE-r1-p1425,SF-BE-r1-p1473,SF-BE-r1-p1521
Rw38,SF-BE-r1-p0034,SF-BE-r1-p0082,SF-BE-r1-p0130,SF-BE-r1-p0178,SF-BE-r1-p0226,SF-BE-r1-p0274,SF-BE-r1-p0322,SF-BE-r1-p0370,SF-BE-r1-p0418,SF-BE-r1-p0466,SF-BE-r1-p0514,SF-BE-r1-p0562,SF-BE-r1-p0610,SF-BE-r1-p0658,SF-BE-r1-p0706,SF-BE-r1-p0754,SF-BE-r1-p0802,SF-BE-r1-p0850,SF-BE-r1-p0898,SF-BE-r1-p0946,SF-BE-r1-p0994,SF-BE-r1-p1042,SF-BE-r1-p1090,SF-BE-r1-p1138,SF-BE-r1-p1186,SF-BE-r1-p1234,SF-BE-r1-p1282,SF-BE-r1-p1330,SF-BE-r1-p1378,SF-BE-r1-p1426,SF-BE-r1-p1474,SF-BE-r1-p1522
Rw39,SF-BE-r1-p0035,SF-BE-r1-p0083,SF-BE-r1-p0131,SF-BE-r1-p0179,SF-BE-r1-p0227,SF-BE-r1-p0275,SF-BE-r1-p0323,SF-BE-r1-p0371,SF-BE-r1-p0419,SF-BE-r1-p0467,SF-BE-r1-p0515,SF-BE-r1-p0563,SF-BE-r1-p0611,SF-BE-r1-p0659,SF-BE-r1-p0707,SF-BE-r1-p0755,SF-BE-r1-p0803,SF-BE-r1-p0851,SF-BE-r1-p0899,SF-BE-r1-p0947,SF-BE-r1-p0995,SF-BE-r1-p1043,SF-BE-r1-p1091,SF-BE-r1-p1139,SF-BE-r1-p1187,SF-BE-r1-p1235,SF-BE-r1-p1283,SF-BE-r1-p1331,SF-BE-r1-p1379,SF-BE-r1-p1427,SF-BE-r1-p1475,SF-BE-r1-p1523
Rw40,SF-BE-r1-p0036,SF-BE-r1-p0084,SF-BE-r1-p0132,SF-BE-r1-p0180,SF-BE-r1-p0228,SF-BE-r1-p0276,SF-BE-r1-p0324,SF-BE-r1-p0372,SF-BE-r1-p0420,SF-BE-r1-p0468,SF-BE-r1-p0516,SF-BE-r1-p0564,SF-BE-r1-p0612,SF-BE-r1-p0660,SF-BE-r1-p0708,SF-BE-r1-p0756,SF-BE-r1-p0804,SF-BE-r1-p0852,SF-BE-r1-p0900,SF-BE-r1-p0948,SF-BE-r1-p0996,SF-BE-r1-p1044,SF-BE-r1-p1092,SF-BE-r1-p1140,SF-BE-r1-p1188,SF-BE-r1-p1236,SF-BE-r1-p1284,SF-BE-r1-p1332,SF-BE-r1-p1380,SF-BE-r1-p1428,SF-BE-r1-p1476,SF-BE-r1-p1524
Rw41,SF-BE-r1-p0037,SF-BE-r1-p0085,SF-BE-r1-p0133,SF-BE-r1-p0181,SF-BE-r1-p0229,SF-BE-r1-p0277,SF-BE-r1-p0325,SF-BE-r1-p0373,SF-BE-r1-p0421,SF-BE-r1-p0469,SF-BE-r1-p0517,SF-BE-r1-p0565,SF-BE-r1-p0613,SF-BE-r1-p0661,SF-BE-r1-p0709,SF-BE-r1-p0757,SF-BE-r1-p0805,SF-BE-r1-p0853,SF-BE-r1-p0901,SF-BE-r1-p0949,SF-BE-r1-p0997,SF-BE-r1-p1045,SF-BE-r1-p1093,SF-BE-r1-p1141,SF-BE-r1-p1189,SF-BE-r1-p1237,SF-BE-r1-p1285,SF-BE-r1-p1333,SF-BE-r1-p1381,SF-BE-r1-p1429,SF-BE-r1-p1477,SF-BE-r1-p1525
Rw42,SF-BE-r1-p0038,SF-BE-r1-p0086,SF-BE-r1-p0134,SF-BE-r1-p0182,SF-BE-r1-p0230,SF-BE-r1-p0278,SF-BE-r1-p0326,SF-BE-r1-p0374,SF-BE-r1-p0422,SF-BE-r1-p0470,SF-BE-r1-p0518,SF-BE-r1-p0566,SF-BE-r1-p0614,SF-BE-r1-p0662,SF-BE-r1-p0710,SF-BE-r1-p0758,SF-BE-r1-p0806,SF-BE-r1-p0854,SF-BE-r1-p0902,SF-BE-r1-p0950,SF-BE-r1-p0998,SF-BE-r1-p1046,SF-BE-r1-p1094,SF-BE-r1-p1142,SF-BE-r1-p1190,SF-BE-r1-p1238,SF-BE-r1-p1286,SF-BE-r1-p1334,SF-BE-r1-p1382,SF-BE-r1-p1430,SF-BE-r1-p1478,SF-BE-r1-p1526
Rw43,SF-BE-r1-p0039,SF-BE-r1-p0087,SF-BE-r1-p0135,SF-BE-r1-p0183,SF-BE-r1-p0231,SF-BE-r1-p0279,SF-BE-r1-p0327,SF-BE-r1-p0375,SF-BE-r1-p0423,SF-BE-r1-p0471,SF-BE-r1-p0519,SF-BE-r1-p0567,SF-BE-r1-p0615,SF-BE-r1-p0663,SF-BE-r1-p0711,SF-BE-r1-p0759,SF-BE-r1-p0807,SF-BE-r1-p0855,SF-BE-r1-p0903,SF-BE-r1-p0951,SF-BE-r1-p0999,SF-BE-r1-p1047,SF-BE-r1-p1095,SF-BE-r1-p1143,SF-BE-r1-p1191,SF-BE-r1-p1239,SF-BE-r1-p1287,SF-BE-r1-p1335,SF-BE-r1-p1383,SF-BE-r1-p1431,SF-BE-r1-p1479,SF-BE-r1-p1527
Rw44,SF-BE-r1-p0040,SF-BE-r1-p0088,SF-BE-r1-p0136,SF-BE-r1-p0184,SF-BE-r1-p0232,SF-BE-r1-p0280,SF-BE-r1-p0328,SF-BE-r1-p0376,SF-BE-r1-p0424,SF-BE-r1-p0472,SF-BE-r1-p0520,SF-BE-r1-p0568,SF-BE-r1-p0616,SF-BE-r1-p0664,SF-BE-r1-p0712,SF-BE-r1-p0760,SF-BE-r1-p0808,SF-BE-r1-p0856,SF-BE-r1-p0904,SF-BE-r1-p0952,SF-BE-r1-p1000,SF-BE-r1-p1048,SF-BE-r1-p1096,SF-BE-r1-p1144,SF-BE-r1-p1192,SF-BE-r1-p1240,SF-BE-r1-p1288,SF-BE-r1-p1336,SF-BE-r1-p1384,SF-BE-r1-p1432,SF-BE-r1-p1480,SF-BE-r1-p1528
Rw45,SF-BE-r1-p0041,SF-BE-r1-p0089,SF-BE-r1-p0137,SF-BE-r1-p0185,SF-BE-r1-p0233,SF-BE-r1-p0281,SF-BE-r1-p0329,SF-BE-r1-p0377,SF-BE-r1-p0425,SF-BE-r1-p0473,SF-BE-r1-p0521,SF-BE-r1-p0569,SF-BE-r1-p0617,SF-BE-r1-p0665,SF-BE-r1-p0713,SF-BE-r1-p0761,SF-BE-r1-p0809,SF-BE-r1-p0857,SF-BE-r1-p0905,SF-BE-r1-p0953,SF-BE-r1-p1001,SF-BE-r1-p1049,SF-BE-r1-p1097,SF-BE-r1-p1145,SF-BE-r1-p1193,SF-BE-r1-p1241,SF-BE-r1-p1289,SF-BE-r1-p1337,SF-BE-r1-p1385,SF-BE-r1-p1433,SF-BE-r1-p1481,SF-BE-r1-p1529
Rw46,SF-BE-r1-p0042,SF-BE-r1-p0090,SF-BE-r1-p0138,SF-BE-r1-p0186,SF-BE-r1-p0234,SF-BE-r1-p0282,SF-BE-r1-p0330,SF-BE-r1-p0378,SF-BE-r1-p0426,SF-BE-r1-p0474,SF-BE-r1-p0522,SF-BE-r1-p0570,SF-BE-r1-p0618,SF-BE-r1-p0666,SF-BE-r1-p0714,SF-BE-r1-p0762,SF-BE-r1-p0810,SF-BE-r1-p0858,SF-BE-r1-p0906,SF-BE-r1-p0954,SF-BE-r1-p1002,SF-BE-r1-p1050,SF-BE-r1-p1098,SF-BE-r1-p1146,SF-BE-r1-p1194,SF-BE-r1-p1242,SF-BE-r1-p1290,SF-BE-r1-p1338,SF-BE-r1-p1386,SF-BE-r1-p1434,SF-BE-r1-p1482,SF-BE-r1-p1530
Rw47,SF-BE-r1-p0043,SF-BE-r1-p0091,SF-BE-r1-p0139,SF-BE-r1-p0187,SF-BE-r1-p0235,SF-BE-r1-p0283,SF-BE-r1-p0331,SF-BE-r1-p0379,SF-BE-r1-p0427,SF-BE-r1-p0475,SF-BE-r1-p0523,SF-BE-r1-p0571,SF-BE-r1-p0619,SF-BE-r1-p0667,SF-BE-r1-p0715,SF-BE-r1-p0763,SF-BE-r1-p0811,SF-BE-r1-p0859,SF-BE-r1-p0907,SF-BE-r1-p0955,SF-BE-r1-p1003,SF-BE-r1-p1051,SF-BE-r1-p1099,SF-BE-r1-p1147,SF-BE-r1-p1195,SF-BE-r1-p1243,SF-BE-r1-p1291,SF-BE-r1-p1339,SF-BE-r1-p1387,SF-BE-r1-p1435,SF-BE-r1-p1483,SF-BE-r1-p1531
Rw48,SF-BE-r1-p0044,SF-BE-r1-p0092,SF-BE-r1-p0140,SF-BE-r1-p0188,SF-BE-r1-p0236,SF-BE-r1-p0284,SF-BE-r1-p0332,SF-BE-r1-p0380,SF-BE-r1-p0428,SF-BE-r1-p0476,SF-BE-r1-p0524,SF-BE-r1-p0572,SF-BE-r1-p0620,SF-BE-r1-p0668,SF-BE-r1-p0716,SF-BE-r1-p0764,SF-BE-r1-p0812,SF-BE-r1-p0860,SF-BE-r1-p0908,SF-BE-r1-p0956,SF-BE-r1-p1004,SF-BE-r1-p1052,SF-BE-r1-p1100,SF-BE-r1-p1148,SF-BE-r1-p1196,SF-BE-r1-p1244,SF-BE-r1-p1292,SF-BE-r1-p1340,SF-BE-r1-p1388,SF-BE-r1-p1436,SF-BE-r1-p1484,SF-BE-r1-p1532
Rw49,SF-BE-r1-p0045,SF-BE-r1-p0093,SF-BE-r1-p0141,SF-BE-r1-p0189,SF-BE-r1-p0237,SF-BE-r1-p0285,SF-BE-r1-p0333,SF-BE-r1-p0381,SF-BE-r1-p0429,SF-BE-r1-p0477,SF-BE-r1-p0525,SF-BE-r1-p0573,SF-BE-r1-p0621,SF-BE-r1-p0669,SF-BE-r1-p0717,SF-BE-r1-p0765,SF-BE-r1-p0813,SF-BE-r1-p0861,SF-BE-r1-p0909,SF-BE-r1-p0957,SF-BE-r1-p1005,SF-BE-r1-p1053,SF-BE-r1-p1101,SF-BE-r1-p1149,SF-BE-r1-p1197,SF-BE-r1-p1245,SF-BE-r1-p1293,SF-BE-r1-p1341,SF-BE-r1-p1389,SF-BE-r1-p1437,SF-BE-r1-p1485,SF-BE-r1-p1533
Rw50,SF-BE-r1-p0046,SF-BE-r1-p0094,SF-BE-r1-p0142,SF-BE-r1-p0190,SF-BE-r1-p0238,SF-BE-r1-p0286,SF-BE-r1-p0334,SF-BE-r1-p0382,SF-BE-r1-p0430,SF-BE-r1-p0478,SF-BE-r1-p0526,SF-BE-r1-p0574,SF-BE-r1-p0622,SF-BE-r1-p0670,SF-BE-r1-p0718,SF-BE-r1-p0766,SF-BE-r1-p0814,SF-BE-r1-p0862,SF-BE-r1-p0910,SF-BE-r1-p0958,SF-BE-r1-p1006,SF-BE-r1-p1054,SF-BE-r1-p1102,SF-BE-r1-p1150,SF-BE-r1-p1198,SF-BE-r1-p1246,SF-BE-r1-p1294,SF-BE-r1-p1342,SF-BE-r1-p1390,SF-BE-r1-p1438,SF-BE-r1-p1486,SF-BE-r1-p1534
Rw51,SF-BE-r1-p0047,SF-BE-r1-p0095,SF-BE-r1-p0143,SF-BE-r1-p0191,SF-BE-r1-p0239,SF-BE-r1-p0287,SF-BE-r1-p0335,SF-BE-r1-p0383,SF-BE-r1-p0431,SF-BE-r1-p0479,SF-BE-r1-p0527,SF-BE-r1-p0575,SF-BE-r1-p0623,SF-BE-r1-p0671,SF-BE-r1-p0719,SF-BE-r1-p0767,SF-BE-r1-p0815,SF-BE-r1-p0863,SF-BE-r1-p0911,SF-BE-r1-p0959,SF-BE-r1-p1007,SF-BE-r1-p1055,SF-BE-r1-p1103,SF-BE-r1-p1151,SF-BE-r1-p1199,SF-BE-r1-p1247,SF-BE-r1-p1295,SF-BE-r1-p1343,SF-BE-r1-p1391,SF-BE-r1-p1439,SF-BE-r1-p1487,SF-BE-r1-p1535
Rw52,SF-BE-r1-p0048,SF-BE-r1-p0096,SF-BE-r1-p0144,SF-BE-r1-p0192,SF-BE-r1-p0240,SF-BE-r1-p0288,SF-BE-r1-p0336,SF-BE-r1-p0384,SF-BE-r1-p0432,SF-BE-r1-p0480,SF-BE-r1-p0528,SF-BE-r1-p0576,SF-BE-r1-p0624,SF-BE-r1-p0672,SF-BE-r1-p0720,SF-BE-r1-p0768,SF-BE-r1-p0816,SF-BE-r1-p0864,SF-BE-r1-p0912,SF-BE-r1-p0960,SF-BE-r1-p1008,SF-BE-r1-p1056,SF-BE-r1-p1104,SF-BE-r1-p1152,SF-BE-r1-p1200,SF-BE-r1-p1248,SF-BE-r1-p1296,SF-BE-r1-p1344,SF-BE-r1-p1392,SF-BE-r1-p1440,SF-BE-r1-p1488,SF-BE-r1-p1536
Rw53,SF-BE-r2-p1537,SF-BE-r2-p1569,SF-BE-r2-p1601,SF-BE-r2-p1633,SF-BE-r2-p1685,SF-BE-r2-p1737,SF-BE-r2-p1789,SF-BE-r2-p1841,SF-BE-r2-p1893,SF-BE-r2-p1945,SF-BE-r2-p1997,SF-BE-r2-p2049,SF-BE-r2-p2101,SF-BE-r2-p2153,SF-BE-r2-p2205,SF-BE-r2-p2257,SF-BE-r2-p2309,SF-BE-r2-p2361,SF-BE-r2-p2413,SF-BE-r2-p2465,SF-BE-r2-p2517,SF-BE-r2-p2569,SF-BE-r2-p2621,SF-BE-r2-p2673,SF-BE-r2-p2725,SF-BE-r2-p2777,SF-BE-r2-p2829,SF-BE-r2-p2881,SF-BE-r2-p2929,SF-BE-r2-p2961,SF-BE-r2-p2993,SF-BE-r2-p3025
Rw54,SF-BE-r2-p1538,SF-BE-r2-p1570,SF-BE-r2-p1602,SF-BE-r2-p1634,SF-BE-r2-p1686,SF-BE-r2-p1738,SF-BE-r2-p1790,SF-BE-r2-p1842,SF-BE-r2-p1894,SF-BE-r2-p1946,SF-BE-r2-p1998,SF-BE-r2-p2050,SF-BE-r2-p2102,SF-BE-r2-p2154,SF-BE-r2-p2206,SF-BE-r2-p2258,SF-BE-r2-p2310,SF-BE-r2-p2362,SF-BE-r2-p2414,SF-BE-r2-p2466,SF-BE-r2-p2518,SF-BE-r2-p2570,SF-BE-r2-p2622,SF-BE-r2-p2674,SF-BE-r2-p2726,SF-BE-r2-p2778,SF-BE-r2-p2830,SF-BE-r2-p2882,SF-BE-r2-p2930,SF-BE-r2-p2962,SF-BE-r2-p2994,SF-BE-r2-p3026
Rw55,SF-BE-r2-p1539,SF-BE-r2-p1571,SF-BE-r2-p1603,SF-BE-r2-p1635,SF-BE-r2-p1687,SF-BE-r2-p1739,SF-BE-r2-p1791,SF-BE-r2-p1843,SF-BE-r2-p1895,SF-BE-r2-p1947,SF-BE-r2-p1999,SF-BE-r2-p2051,SF-BE-r2-p2103,SF-BE-r2-p2155,SF-BE-r2-p2207,SF-BE-r2-p2259,SF-BE-r2-p2311,SF-BE-r2-p2363,SF-BE-r2-p2415,SF-BE-r2-p2467,SF-BE-r2-p2519,SF-BE-r2-p2571,SF-BE-r2-p2623,SF-BE-r2-p2675,SF-BE-r2-p2727,SF-BE-r2-p2779,SF-BE-r2-p2831,SF-BE-r2-p2883,SF-BE-r2-p2931,SF-BE-r2-p2963,SF-BE-r2-p2995,SF-BE-r2-p3027
Rw56,SF-BE-r2-p1540,SF-BE-r2-p1572,SF-BE-r2-p1604,SF-BE-r2-p1636,SF-BE-r2-p1688,SF-BE-r2-p1740,SF-BE-r2-p1792,SF-BE-r2-p1844,SF-BE-r2-p1896,SF-BE-r2-p1948,SF-BE-r2-p2000,SF-BE-r2-p2052,SF-BE-r2-p2104,SF-BE-r2-p2156,SF-BE-r2-p2208,SF-BE-r2-p2260,SF-BE-r2-p2312,SF-BE-r2-p2364,SF-BE-r2-p2416,SF-BE-r2-p2468,SF-BE-r2-p2520,SF-BE-r2-p2572,SF-BE-r2-p2624,SF-BE-r2-p2676,SF-BE-r2-p2728,SF-BE-r2-p2780,SF-BE-r2-p2832,SF-BE-r2-p2884,SF-BE-r2-p2932,SF-BE-r2-p2964,SF-BE-r2-p2996,SF-BE-r2-p3028
Rw57,SF-BE-r2-p1541,SF-BE-r2-p1573,SF-BE-r2-p1605,SF-BE-r2-p1637,SF-BE-r2-p1689,SF-BE-r2-p1741,SF-BE-r2-p1793,SF-BE-r2-p1845,SF-BE-r2-p1897,SF-BE-r2-p1949,SF-BE-r2-p2001,SF-BE-r2-p2053,SF-BE-r2-p2105,SF-BE-r2-p2157,SF-BE-r2-p2209,SF-BE-r2-p2261,SF-BE-r2-p2313,SF-BE-r2-p2365,SF-BE-r2-p2417,SF-BE-r2-p2469,SF-BE-r2-p2521,SF-BE-r2-p2573,SF-BE-r2-p2625,SF-BE-r2-p2677,SF-BE-r2-p2729,SF-BE-r2-p2781,SF-BE-r2-p2833,SF-BE-r2-p2885,SF-BE-r2-p2933,SF-BE-r2-p2965,SF-BE-r2-p2997,SF-BE-r2-p3029
Rw58,SF-BE-r2-p1542,SF-BE-r2-p1574,SF-BE-r2-p1606,SF-BE-r2-p1638,SF-BE-r2-p1690,SF-BE-r2-p1742,SF-BE-r2-p1794,SF-BE-r2-p1846,SF-BE-r2-p1898,SF-BE-r2-p1950,SF-BE-r2-p2002,SF-BE-r2-p2054,SF-BE-r2-p2106,SF-BE-r2-p2158,SF-BE-r2-p2210,SF-BE-r2-p2262,SF-BE-r2-p2314,SF-BE-r2-p2366,SF-BE-r2-p2418,SF-BE-r2-p2470,SF-BE-r2-p2522,SF-BE-r2-p2574,SF-BE-r2-p2626,SF-BE-r2-p2678,SF-BE-r2-p2730,SF-BE-r2-p2782,SF-BE-r2-p2834,SF-BE-r2-p2886,SF-BE-r2-p2934,SF-BE-r2-p2966,SF-BE-r2-p2998,SF-BE-r2-p3030
Rw59,SF-BE-r2-p1543,SF-BE-r2-p1575,SF-BE-r2-p1607,SF-BE-r2-p1639,SF-BE-r2-p1691,SF-BE-r2-p1743,SF-BE-r2-p1795,SF-BE-r2-p1847,SF-BE-r2-p1899,SF-BE-r2-p1951,SF-BE-r2-p2003,SF-BE-r2-p2055,SF-BE-r2-p2107,SF-BE-r2-p2159,SF-BE-r2-p2211,SF-BE-r2-p2263,SF-BE-r2-p2315,SF-BE-r2-p2367,SF-BE-r2-p2419,SF-BE-r2-p2471,SF-BE-r2-p2523,SF-BE-r2-p2575,SF-BE-r2-p2627,SF-BE-r2-p2679,SF-BE-r2-p2731,SF-BE-r2-p2783,SF-BE-r2-p2835,SF-BE-r2-p2887,SF-BE-r2-p2935,SF-BE-r2-p2967,SF-BE-r2-p2999,SF-BE-r2-p3031
Rw60,SF-BE-r2-p1544,SF-BE-r2-p1576,SF-BE-r2-p1608,SF-BE-r2-p1640,SF-BE-r2-p1692,SF-BE-r2-p1744,SF-BE-r2-p1796,SF-BE-r2-p1848,SF-BE-r2-p1900,SF-BE-r2-p1952,SF-BE-r2-p2004,SF-BE-r2-p2056,SF-BE-r2-p2108,SF-BE-r2-p2160,SF-BE-r2-p2212,SF-BE-r2-p2264,SF-BE-r2-p2316,SF-BE-r2-p2368,SF-BE-r2-p2420,SF-BE-r2-p2472,SF-BE-r2-p2524,SF-BE-r2-p2576,SF-BE-r2-p2628,SF-BE-r2-p2680,SF-BE-r2-p2732,SF-BE-r2-p2784,SF-BE-r2-p2836,SF-BE-r2-p2888,SF-BE-r2-p2936,SF-BE-r2-p2968,SF-BE-r2-p3000,SF-BE-r2-p3032
Rw61,SF-BE-r2-p1545,SF-BE-r2-p1577,SF-BE-r2-p1609,SF-BE-r2-p1641,SF-BE-r2-p1693,SF-BE-r2-p1745,SF-BE-r2-p1797,SF-BE-r2-p1849,SF-BE-r2-p1901,SF-BE-r2-p1953,SF-BE-r2-p2005,SF-BE-r2-p2057,SF-BE-r2-p2109,SF-BE-r2-p2161,SF-BE-r2-p2213,SF-BE-r2-p2265,SF-BE-r2-p2317,SF-BE-r2-p2369,SF-BE-r2-p2421,SF-BE-r2-p2473,SF-BE-r2-p2525,SF-BE-r2-p2577,SF-BE-r2-p2629,SF-BE-r2-p2681,SF-BE-r2-p2733,SF-BE-r2-p2785,SF-BE-r2-p2837,SF-BE-r2-p2889,SF-BE-r2-p2937,SF-BE-r2-p2969,SF-BE-r2-p3001,SF-BE-r2-p3033
Rw62,SF-BE-r2-p1546,SF-BE-r2-p1578,SF-BE-r2-p1610,SF-BE-r2-p1642,SF-BE-r2-p1694,SF-BE-r2-p1746,SF-BE-r2-p1798,SF-BE-r2-p1850,SF-BE-r2-p1902,SF-BE-r2-p1954,SF-BE-r2-p2006,SF-BE-r2-p2058,SF-BE-r2-p2110,SF-BE-r2-p2162,SF-BE-r2-p2214,SF-BE-r2-p2266,SF-BE-r2-p2318,SF-BE-r2-p2370,SF-BE-r2-p2422,SF-BE-r2-p2474,SF-BE-r2-p2526,SF-BE-r2-p2578,SF-BE-r2-p2630,SF-BE-r2-p2682,SF-BE-r2-p2734,SF-BE-r2-p2786,SF-BE-r2-p2838,SF-BE-r2-p2890,SF-BE-r2-p2938,SF-BE-r2-p2970,SF-BE-r2-p3002,SF-BE-r2-p3034
Rw63,SF-BE-r2-p1547,SF-BE-r2-p1579,SF-BE-r2-p1611,SF-BE-r2-p1643,SF-BE-r2-p1695,SF-BE-r2-p1747,SF-BE-r2-p1799,SF-BE-r2-p1851,SF-BE-r2-p1903,SF-BE-r2-p1955,SF-BE-r2-p2007,SF-BE-r2-p2059,SF-BE-r2-p2111,SF-BE-r2-p2163,SF-BE-r2-p2215,SF-BE-r2-p2267,SF-BE-r2-p2319,SF-BE-r2-p2371,SF-BE-r2-p2423,SF-BE-r2-p2475,SF-BE-r2-p2527,SF-BE-r2-p2579,SF-BE-r2-p2631,SF-BE-r2-p2683,SF-BE-r2-p2735,SF-BE-r2-p2787,SF-BE-r2-p2839,SF-BE-r2-p2891,SF-BE-r2-p2939,SF-BE-r2-p2971,SF-BE-r2-p3003,SF-BE-r2-p3035
Rw64,SF-BE-r2-p1548,SF-BE-r2-p1580,SF-BE-r2-p1612,SF-BE-r2-p1644,SF-BE-r2-p1696,SF-BE-r2-p1748,SF-BE-r2-p1800,SF-BE-r2-p1852,SF-BE-r2-p1904,SF-BE-r2-p1956,SF-BE-r2-p2008,SF-BE-r2-p2060,SF-BE-r2-p2112,SF-BE-r2-p2164,SF-BE-r2-p2216,SF-BE-r2-p2268,SF-BE-r2-p2320,SF-BE-r2-p2372,SF-BE-r2-p2424,SF-BE-r2-p2476,SF-BE-r2-p2528,SF-BE-r2-p2580,SF-BE-r2-p2632,SF-BE-r2-p2684,SF-BE-r2-p2736,SF-BE-r2-p2788,SF-BE-r2-p2840,SF-BE-r2-p2892,SF-BE-r2-p2940,SF-BE-r2-p2972,SF-BE-r2-p3004,SF-BE-r2-p3036
Rw65,SF-BE-r2-p1549,SF-BE-r2-p1581,SF-BE-r2-p1613,SF-BE-r2-p1645,SF-BE-r2-p1697,SF-BE-r2-p1749,SF-BE-r2-p1801,SF-BE-r2-p1853,SF-BE-r2-p1905,SF-BE-r2-p1957,SF-BE-r2-p2009,SF-BE-r2-p2061,SF-BE-r2-p2113,SF-BE-r2-p2165,SF-BE-r2-p2217,SF-BE-r2-p2269,SF-BE-r2-p2321,SF-BE-r2-p2373,SF-BE-r2-p2425,SF-BE-r2-p2477,SF-BE-r2-p2529,SF-BE-r2-p2581,SF-BE-r2-p2633,SF-BE-r2-p2685,SF-BE-r2-p2737,SF-BE-r2-p2789,SF-BE-r2-p2841,SF-BE-r2-p2893,SF-BE-r2-p2941,SF-BE-r2-p2973,SF-BE-r2-p3005,SF-BE-r2-p3037
Rw66,SF-BE-r2-p1550,SF-BE-r2-p1582,SF-BE-r2-p1614,SF-BE-r2-p1646,SF-BE-r2-p1698,SF-BE-r2-p1750,SF-BE-r2-p1802,SF-BE-r2-p1854,SF-BE-r2-p1906,SF-BE-r2-p1958,SF-BE-r2-p2010,SF-BE-r2-p2062,SF-BE-r2-p2114,SF-BE-r2-p2166,SF-BE-r2-p2218,SF-BE-r2-p2270,SF-BE-r2-p2322,SF-BE-r2-p2374,SF-BE-r2-p2426,SF-BE-r2-p2478,SF-BE-r2-p2530,SF-BE-r2-p2582,SF-BE-r2-p2634,SF-BE-r2-p2686,SF-BE-r2-p2738,SF-BE-r2-p2790,SF-BE-r2-p2842,SF-BE-r2-p2894,SF-BE-r2-p2942,SF-BE-r2-p2974,SF-BE-r2-p3006,SF-BE-r2-p3038
Rw67,SF-BE-r2-p1551,SF-BE-r2-p1583,SF-BE-r2-p1615,SF-BE-r2-p1647,SF-BE-r2-p1699,SF-BE-r2-p1751,SF-BE-r2-p1803,SF-BE-r2-p1855,SF-BE-r2-p1907,SF-BE-r2-p1959,SF-BE-r2-p2011,SF-BE-r2-p2063,SF-BE-r2-p2115,SF-BE-r2-p2167,SF-BE-r2-p2219,SF-BE-r2-p2271,SF-BE-r2-p2323,SF-BE-r2-p2375,SF-BE-r2-p2427,SF-BE-r2-p2479,SF-BE-r2-p2531,SF-BE-r2-p2583,SF-BE-r2-p2635,SF-BE-r2-p2687,SF-BE-r2-p2739,SF-BE-r2-p2791,SF-BE-r2-p2843,SF-BE-r2-p2895,SF-BE-r2-p2943,SF-BE-r2-p2975,SF-BE-r2-p3007,SF-BE-r2-p3039
