Taxa,PHOTOPERIOD,Type,Origin,Race
PI_585461,PHOTOPERIOD_SENSITIVE,Cellulosic,Ghana,Guinea
PI_585467,PHOTOPERIOD_SENSITIVE,Cellulosic,Ghana,Guinea
PI_585577,PHOTOPERIOD_SENSITIVE,Cellulosic,Burundi,Durra-caudatum
PI_585608,PHOTOPERIOD_SENSITIVE,Cellulosic,Rwanda,Caudatum
PI_585954,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea
PI_585961,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea
PI_585966,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea
PI_586435,PHOTOPERIOD_INSENSITIVE,Sweet,Hungary,Guinea-kafir
PI_586443,PHOTOPERIOD_INSENSITIVE,Sweet,Hungary,Guinea-caudatum
PI_586499,PHOTOPERIOD_INSENSITIVE,Sweet,South Africa,Kafir-caudatum
PI_586541,PHOTOPERIOD_INSENSITIVE,Sweet,Australia,Caudatum-bicolor
PI_593916,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA
PI_619807,PHOTOPERIOD_SENSITIVE,Sweet,Uganda,NA
PI_619838,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA
PI_620072,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA
PI_620157,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA
PI_63715,PHOTOPERIOD_INSENSITIVE,Sweet,China,Kafir
PI_641807,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_641810,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_641815,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_641817,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_641821,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA
PI_641824,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_641829,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_641830,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA
PI_641834,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_641835,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_641836,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_641850,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_641860,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_641862,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_641892,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA
PI_641909,PHOTOPERIOD_INSENSITIVE,Cellulosic,Sudan,NA
PI_642998,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA
PI_643008,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_643016,PHOTOPERIOD_SENSITIVE,Sweet,NA,NA
PI_646242,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA
PI_646251,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA
PI_646266,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA
PI_651491,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_651493,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_651495,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_651496,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_651497,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_653616,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_653617,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_655972,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA
PI_655978,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA
PI_655981,PHOTOPERIOD_INSENSITIVE,Cellulosic,Mali,NA
PI_655983,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_656015,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_656026,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA
PI_656035,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA
PI_656065,PHOTOPERIOD_INSENSITIVE,Cellulosic,NA,NA
PI_92270,PHOTOPERIOD_INSENSITIVE,Sweet,China,Mixed
ATLAS,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
LEOTI,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
RIO,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
WRAY,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
