Rw72,PI_506030,PI_563002,PI_329338,PI_297171,PI_152963,PI_329301,PI_583832,PI_329319,PI_585467,PI_570110,PI_569416,PI_619807,PI_643008,PI_569425,PI_585406,PI_452692,PI_156217,PI_569886,PI_620072,PI_570371,PI_329614,PI_570393,PI_570042,PI_154846,PI_563006,PI_329440,PI_329541,PI_154750,PI_330181,PI_329865,PI_569421,PI_156203
Rw73,PI_573193,PI_570076,PI_562990,PI_266927,PI_570091,PI_569427,PI_570090,PI_276837,PI_329506,PI_570114,PI_152923,PI_585961,PI_330803,PI_570087,PI_569148,PI_329545,PI_221651,PI_562997,PI_329570,PI_620157,PI_569454,PI_329480,PI_154987,PI_330185,PI_329665,PI_154844,PI_562985,PI_329645,PI_329517,PI_156268,CHECK,PI_570073
Rw74,PI_573193,PI_570076,PI_562990,PI_266927,PI_570091,PI_569427,PI_570090,PI_276837,PI_329506,PI_570114,PI_152923,PI_585961,PI_330803,PI_570087,PI_569148,PI_329545,PI_221651,PI_562997,PI_329570,PI_620157,PI_569454,PI_329480,PI_154987,PI_330185,PI_329665,PI_154844,PI_562985,PI_329645,PI_329517,PI_156268,CHECK,PI_570073
Rw75,PI_573193,PI_570076,PI_562990,PI_266927,PI_570091,PI_569427,PI_570090,PI_276837,PI_329506,PI_570114,PI_152923,PI_585961,PI_330803,PI_570087,PI_569148,PI_329545,PI_221651,PI_562997,PI_329570,PI_620157,PI_569454,PI_329480,PI_154987,PI_330185,PI_329665,PI_154844,PI_562985,PI_329645,PI_329517,PI_156268,CHECK,PI_570073
Rw76,PI_573193,PI_570076,PI_562990,PI_266927,PI_570091,PI_569427,PI_570090,PI_276837,PI_329506,PI_570114,PI_152923,PI_585961,PI_330803,PI_570087,PI_569148,PI_329545,PI_221651,PI_562997,PI_329570,PI_620157,PI_569454,PI_329480,PI_154987,PI_330185,PI_329665,PI_154844,PI_562985,PI_329645,PI_329517,PI_156268,CHECK,PI_570073
Rw77,PI_585452,PI_563009,PI_329501,PI_154944,PI_563338,PI_569457,PI_329699,PI_152730,PI_330169,PI_563021,PI_569419,PI_585966,PI_563331,PI_643016,PI_641909,PI_152733,PI_521152,CHECK,PI_152816,PI_329518,PI_329326,PI_511355,PI_524475,PI_570106,PI_156487,PI_585577,PI_646266,PI_563332,PI_167093,PI_570053,PI_563022,PI_152727
Rw78,PI_585452,PI_563009,PI_329501,PI_154944,PI_563338,PI_569457,PI_329699,PI_152730,PI_330169,PI_563021,PI_569419,PI_585966,PI_563331,PI_643016,PI_641909,PI_152733,PI_521152,CHECK,PI_152816,PI_329518,PI_329326,PI_511355,PI_524475,PI_570106,PI_156487,PI_585577,PI_646266,PI_563332,PI_167093,PI_570053,PI_563022,PI_152727
Rw79,PI_585452,PI_563009,PI_329501,PI_154944,PI_563338,PI_569457,PI_329699,PI_152730,PI_330169,PI_563021,PI_569419,PI_585966,PI_563331,PI_643016,PI_641909,PI_152733,PI_521152,CHECK,PI_152816,PI_329518,PI_329326,PI_511355,PI_524475,PI_570106,PI_156487,PI_585577,PI_646266,PI_563332,PI_167093,PI_570053,PI_563022,PI_152727
Rw80,PI_585452,PI_563009,PI_329501,PI_154944,PI_563338,PI_569457,PI_329699,PI_152730,PI_330169,PI_563021,PI_569419,PI_585966,PI_563331,PI_643016,PI_641909,PI_152733,PI_521152,CHECK,PI_152816,PI_329518,PI_329326,PI_511355,PI_524475,PI_570106,PI_156487,PI_585577,PI_646266,PI_563332,PI_167093,PI_570053,PI_563022,PI_152727
Rw81,PI_156393,PI_570388,PI_569445,PI_505717,PI_156871,PI_585448,PI_329605,PI_157030,PI_329256,PI_156463,PI_329519,PI_585461,PI_563020,PI_563348,PI_510757,PI_337689,PI_570145,PI_563350,PI_452619,PI_570096,PI_329300,PI_329673,PI_155149,PI_570071,PI_506114,PI_619838,PI_145633,PI_586435,PI_196598,PI_181080,PI_253986,PI_297155
Rw82,PI_156393,PI_570388,PI_569445,PI_505717,PI_156871,PI_585448,PI_329605,PI_157030,PI_329256,PI_156463,PI_329519,PI_585461,PI_563020,PI_563348,PI_510757,PI_337689,PI_570145,PI_563350,PI_452619,PI_570096,PI_329300,PI_329673,PI_155149,PI_570071,PI_506114,PI_619838,PI_145633,PI_586435,PI_196598,PI_181080,PI_253986,PI_297155
Rw83,PI_156393,PI_570388,PI_569445,PI_505717,PI_156871,PI_585448,PI_329605,PI_157030,PI_329256,PI_156463,PI_329519,PI_585461,PI_563020,PI_563348,PI_510757,PI_337689,PI_570145,PI_563350,PI_452619,PI_570096,PI_329300,PI_329673,PI_155149,PI_570071,PI_506114,PI_619838,PI_145633,PI_586435,PI_196598,PI_181080,PI_253986,PI_297155
Rw84,PI_156393,PI_570388,PI_569445,PI_505717,PI_156871,PI_585448,PI_329605,PI_157030,PI_329256,PI_156463,PI_329519,PI_585461,PI_563020,PI_563348,PI_510757,PI_337689,PI_570145,PI_563350,PI_452619,PI_570096,PI_329300,PI_329673,PI_155149,PI_570071,PI_506114,PI_619838,PI_145633,PI_586435,PI_196598,PI_181080,PI_253986,PI_297155
Rw85,NA,NA,NA,PI_152965,PI_641807,LEOTI,PI_656035,PI_195754,PI_651493,PI_535795,PI_251672,PI_641860,PI_655981,PI_651496,PI_651495,PI_651497,PI_226096,PI_170787,PI_196583,PI_152651,ATLAS,PI_152694,PI_152971,PI_146890,PI_569244,PI_155760,PI_197542,PI_586541,NA,NA,NA,NA
Rw86,NA,NA,NA,PI_152965,PI_641807,LEOTI,PI_656035,PI_195754,PI_651493,PI_535795,PI_251672,PI_641860,PI_655981,PI_651496,PI_651495,PI_651497,PI_226096,PI_170787,PI_196583,PI_152651,ATLAS,PI_152694,PI_152971,PI_146890,PI_569244,PI_155760,PI_197542,PI_586541,NA,NA,NA,NA
Rw87,NA,NA,NA,PI_152965,PI_641807,LEOTI,PI_656035,PI_195754,PI_651493,PI_535795,PI_251672,PI_641860,PI_655981,PI_651496,PI_651495,PI_651497,PI_226096,PI_170787,PI_196583,PI_152651,ATLAS,PI_152694,PI_152971,PI_146890,PI_569244,PI_155760,PI_197542,PI_586541,NA,NA,NA,NA
Rw88,NA,NA,NA,PI_152965,PI_641807,LEOTI,PI_656035,PI_195754,PI_651493,PI_535795,PI_251672,PI_641860,PI_655981,PI_651496,PI_651495,PI_651497,PI_226096,PI_170787,PI_196583,PI_152651,ATLAS,PI_152694,PI_152971,PI_146890,PI_569244,PI_155760,PI_197542,PI_586541,NA,NA,NA,NA
Rw89,NA,NA,NA,PI_145632,PI_217691,PI_145626,PI_157804,PI_22913,PI_35038,PI_156890,PI_255744,PI_330199,PI_641835,PI_641817,PI_641830,PI_144134,CHECK,PI_505735,PI_651491,PI_152862,PI_145619,PI_655983,PI_302252,PI_641892,PI_229841,PI_641862,PI_562730,PI_653616,NA,NA,NA,NA
Rw90,NA,NA,NA,PI_145632,PI_217691,PI_145626,PI_157804,PI_22913,PI_35038,PI_156890,PI_255744,PI_330199,PI_641835,PI_641817,PI_641830,PI_144134,CHECK,PI_505735,PI_651491,PI_152862,PI_145619,PI_655983,PI_302252,PI_641892,PI_229841,PI_641862,PI_562730,PI_653616,NA,NA,NA,NA
Rw91,NA,NA,NA,PI_145632,PI_217691,PI_145626,PI_157804,PI_22913,PI_35038,PI_156890,PI_255744,PI_330199,PI_641835,PI_641817,PI_641830,PI_144134,CHECK,PI_505735,PI_651491,PI_152862,PI_145619,PI_655983,PI_302252,PI_641892,PI_229841,PI_641862,PI_562730,PI_653616,NA,NA,NA,NA
Rw92,NA,NA,NA,PI_145632,PI_217691,PI_145626,PI_157804,PI_22913,PI_35038,PI_156890,PI_255744,PI_330199,PI_641835,PI_641817,PI_641830,PI_144134,CHECK,PI_505735,PI_651491,PI_152862,PI_145619,PI_655983,PI_302252,PI_641892,PI_229841,PI_641862,PI_562730,PI_653616,NA,NA,NA,NA
Rw93,NA,NA,NA,PI_175919,PI_152966,PI_566819,PI_19770,PI_535785,PI_586443,PI_92270,PI_221548,PI_653617,PI_176766,PI_641810,PI_179749,PI_641836,PI_641815,PI_152771,PI_63715,PI_147224,PI_641824,PI_196586,PI_218112,PI_641829,PI_642998,PI_213900,PI_569090,PI_641850,NA,NA,NA,NA
Rw94,NA,NA,NA,PI_175919,PI_152966,PI_566819,PI_19770,PI_535785,PI_586443,PI_92270,PI_221548,PI_653617,PI_176766,PI_641810,PI_179749,PI_641836,PI_641815,PI_152771,PI_63715,PI_147224,PI_641824,PI_196586,PI_218112,PI_641829,PI_642998,PI_213900,PI_569090,PI_641850,NA,NA,NA,NA
Rw95,NA,NA,NA,PI_175919,PI_152966,PI_566819,PI_19770,PI_535785,PI_586443,PI_92270,PI_221548,PI_653617,PI_176766,PI_641810,PI_179749,PI_641836,PI_641815,PI_152771,PI_63715,PI_147224,PI_641824,PI_196586,PI_218112,PI_641829,PI_642998,PI_213900,PI_569090,PI_641850,NA,NA,NA,NA
Rw96,NA,NA,NA,PI_175919,PI_152966,PI_566819,PI_19770,PI_535785,PI_586443,PI_92270,PI_221548,PI_653617,PI_176766,PI_641810,PI_179749,PI_641836,PI_641815,PI_152771,PI_63715,PI_147224,PI_641824,PI_196586,PI_218112,PI_641829,PI_642998,PI_213900,PI_569090,PI_641850,NA,NA,NA,NA
Rw97,NA,NA,NA,PI_534120,PI_365512,PI_535783,PI_564163,PI_533902,PI_181083,PI_656065,PI_526905,PI_535793,PI_593916,PI_550604,PI_534165,PI_542718,PI_655972,PI_656015,CHECK,PI_527045,PI_533998,PI_535794,PI_576401,PI_154988,PI_535796,PI_533792,PI_540518,PI_641821,NA,NA,NA,NA
Rw98,NA,NA,NA,PI_534120,PI_365512,PI_535783,PI_564163,PI_533902,PI_181083,PI_656065,PI_526905,PI_535793,PI_593916,PI_550604,PI_534165,PI_542718,PI_655972,PI_656015,CHECK,PI_527045,PI_533998,PI_535794,PI_576401,PI_154988,PI_535796,PI_533792,PI_540518,PI_641821,NA,NA,NA,NA
Rw99,NA,NA,NA,PI_534120,PI_365512,PI_535783,PI_564163,PI_533902,PI_181083,PI_656065,PI_526905,PI_535793,PI_593916,PI_550604,PI_534165,PI_542718,PI_655972,PI_656015,CHECK,PI_527045,PI_533998,PI_535794,PI_576401,PI_154988,PI_535796,PI_533792,PI_540518,PI_641821,NA,NA,NA,NA
Rw100,NA,NA,NA,PI_534120,PI_365512,PI_535783,PI_564163,PI_533902,PI_181083,PI_656065,PI_526905,PI_535793,PI_593916,PI_550604,PI_534165,PI_542718,PI_655972,PI_656015,CHECK,PI_527045,PI_533998,PI_535794,PI_576401,PI_154988,PI_535796,PI_533792,PI_540518,PI_641821,NA,NA,NA,NA
Rw101,NA,NA,NA,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,PI_561840,PI_655978,PI_329435,PI_535792,PI_180348,PI_576399,PI_656026,PI_52606,PI_152828,NA,NA,NA,NA,NA
Rw102,NA,NA,NA,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,PI_561840,PI_655978,PI_329435,PI_535792,PI_180348,PI_576399,PI_656026,PI_52606,PI_152828,NA,NA,NA,NA,NA
Rw103,NA,NA,NA,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,PI_561840,PI_655978,PI_329435,PI_535792,PI_180348,PI_576399,PI_656026,PI_52606,PI_152828,NA,NA,NA,NA,NA
Rw104,NA,NA,NA,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,PI_561840,PI_655978,PI_329435,PI_535792,PI_180348,PI_576399,PI_656026,PI_52606,PI_152828,NA,NA,NA,NA,NA
,,,,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,,,,,
,,,,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,,,,,
,,,,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,,,,,
,,,,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,FILL,,,,,
